EllipObject 16733, PlaneEdges 532( V 532, P 0 )
 -> Valid edges : 
   v 362 : 0
   v 363 : 6.66628e-16
   v 364 : 3.29951e-16
   v 365 : 1.19836e-09
   v 366 : 0
   v 367 : 6.66628e-16
   v 368 : 3.29951e-16
   v 369 : 1.19836e-09
   v 370 : 0
   v 371 : 6.66628e-16
   v 372 : 3.29951e-16
   v 373 : 1.19836e-09
   v 374 : 0
   v 375 : 6.66628e-16
   v 376 : 3.29951e-16
   v 377 : 1.19836e-09
   v 378 : 0
   v 379 : 6.66628e-16
   v 380 : 3.29951e-16
   v 381 : 1.19836e-09
   v 382 : 0
   v 383 : 6.66628e-16
   v 384 : 3.29951e-16
   v 385 : 1.19836e-09
   v 386 : 0
   v 387 : 6.66628e-16
   v 388 : 3.29951e-16
   v 389 : 1.19836e-09
   v 390 : 0
   v 391 : 6.66628e-16
   v 392 : 3.29951e-16
   v 393 : 1.19836e-09
   v 394 : 0
   v 395 : 6.66628e-16
   v 396 : 3.29951e-16
   v 397 : 1.19836e-09
   v 398 : 0
   v 399 : 6.66628e-16
   v 400 : 3.29951e-16
   v 401 : 1.19836e-09
   v 402 : 0
   v 403 : 6.66628e-16
   v 404 : 3.29951e-16
   v 405 : 1.19836e-09
   v 406 : 0
   v 407 : 6.66628e-16
   v 408 : 3.29951e-16
   v 409 : 1.19836e-09
   v 410 : 0
   v 411 : 6.66628e-16
   v 412 : 3.29951e-16
   v 413 : 1.19836e-09
   v 414 : 0
   v 415 : 6.66628e-16
   v 416 : 3.29951e-16
   v 417 : 1.19836e-09
   v 418 : 0
   v 419 : 6.66628e-16
   v 420 : 3.29951e-16
   v 421 : 1.19836e-09
   v 422 : 0
   v 423 : 6.66628e-16
   v 424 : 3.29951e-16
   v 425 : 1.19836e-09
   v 426 : 0
   v 427 : 6.66628e-16
   v 428 : 3.29951e-16
   v 429 : 1.19836e-09
   v 430 : 0
   v 431 : 6.66628e-16
   v 432 : 3.29951e-16
   v 433 : 1.19836e-09
   v 434 : 0
   v 435 : 6.66628e-16
   v 436 : 3.29951e-16
   v 437 : 1.19836e-09
   v 438 : 0
   v 439 : 6.66628e-16
   v 440 : 3.29951e-16
   v 441 : 1.19836e-09
   v 442 : 0
   v 443 : 6.66628e-16
   v 444 : 3.29951e-16
   v 445 : 1.19836e-09
   v 446 : 0
   v 447 : 6.66628e-16
   v 448 : 3.29951e-16
   v 449 : 1.19836e-09
   v 450 : 0
   v 451 : 6.66628e-16
   v 452 : 3.29951e-16
   v 453 : 1.19836e-09
   v 454 : 0
   v 455 : 6.66628e-16
   v 456 : 3.29951e-16
   v 457 : 1.19836e-09
   v 458 : 0
   v 459 : 6.66628e-16
   v 460 : 3.29951e-16
   v 461 : 1.19836e-09
   v 462 : 0
   v 463 : 6.66628e-16
   v 464 : 3.29951e-16
   v 465 : 1.19836e-09
   v 466 : 0
   v 467 : 6.66628e-16
   v 468 : 3.29951e-16
   v 469 : 1.19836e-09
   v 470 : 0
   v 471 : 6.66628e-16
   v 472 : 3.29951e-16
   v 473 : 1.19836e-09
   v 474 : 0
   v 475 : 6.66628e-16
   v 476 : 3.29951e-16
   v 477 : 1.19836e-09
   v 478 : 0
   v 479 : 6.66628e-16
   v 480 : 3.29951e-16
   v 481 : 1.19836e-09
   v 482 : 0
   v 483 : 6.66628e-16
   v 484 : 3.29951e-16
   v 485 : 1.19836e-09
   v 486 : 0
   v 487 : 6.66628e-16
   v 488 : 3.29951e-16
   v 489 : 1.19836e-09
   v 490 : 0
   v 491 : 6.66628e-16
   v 492 : 3.29951e-16
   v 493 : 1.19836e-09
   v 494 : 0
   v 495 : 6.66628e-16
   v 496 : 3.29951e-16
   v 497 : 1.19836e-09
   v 498 : 0
   v 499 : 6.66628e-16
   v 500 : 3.29951e-16
   v 501 : 1.19836e-09
   v 502 : 0
   v 503 : 6.66628e-16
   v 504 : 3.29951e-16
   v 505 : 1.19836e-09
   v 506 : 0
   v 507 : 6.66628e-16
   v 508 : 3.29951e-16
   v 509 : 1.19836e-09
   v 510 : 0
   v 511 : 6.66628e-16
   v 512 : 3.29951e-16
   v 513 : 1.19836e-09
   v 514 : 0
   v 515 : 6.66628e-16
   v 516 : 3.29951e-16
   v 517 : 1.19836e-09
   v 518 : 0
   v 519 : 6.66628e-16
   v 520 : 3.29951e-16
   v 521 : 1.19836e-09
   v 522 : 0
   v 523 : 6.66628e-16
   v 524 : 3.29951e-16
   v 525 : 1.19836e-09
   v 526 : 0
   v 527 : 6.66628e-16
   v 528 : 3.29951e-16
   v 529 : 1.19836e-09
   v 530 : 0
   v 531 : 6.66628e-16

 -> Partial edges : 

EllipObject 16734, PlaneEdges 532( V 532, P 0 )
 -> Valid edges : 
   v 0 : 4.90034e-10
   v 1 : 3.34676e-10
   v 2 : 4.37635e-10
   v 3 : 2.82977e-10
   v 4 : 4.90034e-10
   v 5 : 3.34676e-10
   v 6 : 4.37635e-10
   v 7 : 2.82977e-10
   v 8 : 4.90034e-10
   v 9 : 3.34676e-10
   v 10 : 4.37635e-10
   v 11 : 2.82977e-10
   v 12 : 4.90034e-10
   v 13 : 3.34676e-10
   v 14 : 4.37635e-10
   v 15 : 2.82977e-10
   v 16 : 4.90034e-10
   v 17 : 3.34676e-10
   v 18 : 4.37635e-10
   v 19 : 2.82977e-10
   v 20 : 4.90034e-10
   v 21 : 3.34676e-10
   v 22 : 4.37635e-10
   v 23 : 2.82977e-10
   v 24 : 4.90034e-10
   v 25 : 3.34676e-10
   v 26 : 4.37635e-10
   v 27 : 2.82977e-10
   v 28 : 4.90034e-10
   v 29 : 3.34676e-10
   v 30 : 4.37635e-10
   v 31 : 2.82977e-10
   v 32 : 4.90034e-10
   v 33 : 3.34676e-10
   v 34 : 4.37635e-10
   v 35 : 2.82977e-10
   v 36 : 4.90034e-10
   v 37 : 3.34676e-10
   v 38 : 4.37635e-10
   v 39 : 2.82977e-10
   v 40 : 4.90034e-10
   v 41 : 3.34676e-10
   v 42 : 4.37635e-10
   v 43 : 2.82977e-10
   v 44 : 4.90034e-10
   v 45 : 3.34676e-10
   v 46 : 4.37635e-10
   v 47 : 2.82977e-10
   v 48 : 4.90034e-10
   v 49 : 3.34676e-10
   v 50 : 4.37635e-10
   v 51 : 2.82977e-10
   v 52 : 4.90034e-10
   v 53 : 3.34676e-10
   v 54 : 4.37635e-10
   v 55 : 2.82977e-10
   v 56 : 4.90034e-10
   v 57 : 3.34676e-10
   v 58 : 4.37635e-10
   v 59 : 2.82977e-10
   v 60 : 4.90034e-10
   v 61 : 3.34676e-10
   v 62 : 4.37635e-10
   v 63 : 2.82977e-10
   v 64 : 4.90034e-10
   v 65 : 3.34676e-10
   v 66 : 4.37635e-10
   v 67 : 2.82977e-10
   v 68 : 4.90034e-10
   v 69 : 3.34676e-10
   v 70 : 4.37635e-10
   v 71 : 2.82977e-10
   v 72 : 4.90034e-10
   v 73 : 3.34676e-10
   v 74 : 4.37635e-10
   v 75 : 2.82977e-10
   v 76 : 4.90034e-10
   v 77 : 3.34676e-10
   v 78 : 4.37635e-10
   v 79 : 2.82977e-10
   v 80 : 4.90034e-10
   v 81 : 3.34676e-10
   v 82 : 4.37635e-10
   v 83 : 2.82977e-10
   v 84 : 4.90034e-10
   v 85 : 3.34676e-10
   v 86 : 4.37635e-10
   v 87 : 2.82977e-10
   v 88 : 4.90034e-10
   v 89 : 3.34676e-10
   v 90 : 4.37635e-10
   v 91 : 2.82977e-10
   v 92 : 4.90034e-10
   v 93 : 3.34676e-10
   v 94 : 4.37635e-10
   v 95 : 2.82977e-10
   v 96 : 4.90034e-10
   v 97 : 3.34676e-10
   v 98 : 4.37635e-10
   v 99 : 2.82977e-10
   v 100 : 4.90034e-10
   v 101 : 3.34676e-10
   v 102 : 4.37635e-10
   v 103 : 2.82977e-10
   v 104 : 4.90034e-10
   v 105 : 3.34676e-10
   v 106 : 4.37635e-10
   v 107 : 2.82977e-10
   v 108 : 4.90034e-10
   v 109 : 3.34676e-10
   v 110 : 4.37635e-10
   v 111 : 2.82977e-10
   v 112 : 4.90034e-10
   v 113 : 3.34676e-10
   v 114 : 4.37635e-10
   v 115 : 2.82977e-10
   v 116 : 4.90034e-10
   v 117 : 3.34676e-10
   v 118 : 4.37635e-10
   v 119 : 2.82977e-10
   v 120 : 4.90034e-10
   v 121 : 3.34676e-10
   v 122 : 4.37635e-10
   v 123 : 2.82977e-10
   v 124 : 4.90034e-10
   v 125 : 3.34676e-10
   v 126 : 4.37635e-10
   v 127 : 2.82977e-10
   v 128 : 4.90034e-10
   v 129 : 3.34676e-10
   v 130 : 4.37635e-10
   v 131 : 2.82977e-10
   v 132 : 4.90034e-10
   v 133 : 3.34676e-10
   v 134 : 4.37635e-10
   v 135 : 2.82977e-10
   v 136 : 4.90034e-10
   v 137 : 3.34676e-10
   v 138 : 4.37635e-10
   v 139 : 2.82977e-10
   v 140 : 4.90034e-10
   v 141 : 3.34676e-10
   v 142 : 4.37635e-10
   v 143 : 2.82977e-10
   v 144 : 4.90034e-10
   v 145 : 3.34676e-10
   v 146 : 4.37635e-10
   v 147 : 2.82977e-10
   v 148 : 4.90034e-10
   v 149 : 3.34676e-10
   v 150 : 4.37635e-10
   v 151 : 2.82977e-10
   v 152 : 4.90034e-10
   v 153 : 3.34676e-10
   v 154 : 4.37635e-10
   v 155 : 2.82977e-10
   v 156 : 4.90034e-10
   v 157 : 3.34676e-10
   v 158 : 4.37635e-10
   v 159 : 2.82977e-10
   v 160 : 4.90034e-10
   v 161 : 3.34676e-10
   v 162 : 4.37635e-10
   v 163 : 2.82977e-10
   v 164 : 4.90034e-10
   v 165 : 3.34676e-10
   v 166 : 4.37635e-10
   v 167 : 2.82977e-10
   v 168 : 4.90034e-10
   v 169 : 3.34676e-10
   v 170 : 4.37635e-10
   v 171 : 2.82977e-10
   v 172 : 4.90034e-10
   v 173 : 3.34676e-10
   v 174 : 4.37635e-10
   v 175 : 2.82977e-10
   v 176 : 4.90034e-10
   v 177 : 3.34676e-10
   v 178 : 4.37635e-10
   v 179 : 2.82977e-10
   v 180 : 4.90034e-10
   v 181 : 3.34676e-10
   v 182 : 4.37635e-10
